ourse Code	Course Name	Credit
MSJ3162	Communication Approaches for C4D	3
MSJ3233	TV Infotainment Production	3
MSJ3243	Speech Writing and Public Speaking	3
MSJ3253	Data Journalism	3
MSJ3261	ICT for Development	3
MSJ3263	Emergency Communication	3
MSJ4101	Media and the Law	3
MSJ4132	Fictional Narrative Production	3
MSJ4142	Public Relations Campaign	3
MSJ4152	Investigative Journalism-ll	3
MSJ4162	Environmental Communication	3
MSJ4298	Internship	3
MSJ4299	Portfolio	3
MSJ5102	Ethics in Media and Communication	3
MSJ5103	Technical Writing	3
MSJ5223	Knowledge Creation and Management	3
MSJ6111	Proposal Writing	3
MSJ6115	Organizing Communities: Advocacy, Activism and Social Justice	3
MSJ6125	Crisis Communication	3
MSJ6126	Social Media Management	3
MSJ6231	Thesis Writing I	3
MSJ6232	Thesis Writing II	3
MSJ6233	Thesis Wrting III	3
MSJ6234	Professional Development l	3
MSJ6235	Professional Development ll	3
MSJ6236	Professional Development lll	3
MSJ6237	Comprehensive Exam l	3
MSJ6238	Comprehensive Exam ll	3
MSJ6239	Comprehensive Exam lll	3
NSC2181	Evolutionary Theory and Human Behavior	3
NSC2182	Food and Nutrition	3
NSC2183	Introduction to Psychology	3
NSC2184	Renewable Energy	3
NSC2185	Sustainable Agriculture	3
NSC2248	Industrial Management	3
NSC2281	Archaeological Sciences	3
NSC2282	Biodiversity and Nature Conservation	3
NSC2283	Environmental Science	3
NSC2284	History and Method of Science	3
NSC3182	Introduction to Science Studies	3
NSC3185	Technology and Development	3
NSC3282	Public Health and Epidemiology	3
NSC4181	Genetics	3
NSC4182	Mathematics	3
PHY1101	Physics l	3
PHY1102	Physics l Lab	1
PHY1301	Physics II	3
PHY3101	Physics II	3
SCM4501	Principles of Supply Chain Management	3
SCM4502	Logistics Management	3
SCM4503	Procurement Management	3
SCM4507	Global Supply Chain Management	3
SCM4510	Maritime Logistics	3
SCM501	Operations Management	3
SCM602	Logistics Management	3
SCM603	Project Management	3
SCM604	Principles of Supply Chain Management	3
SCM605	Procurement & Inventory Management	3
SSC2146	Globalization	3
SSC2149	Introduction to Anthropology	3
SSC2150	Introduction to Archaeology	3
SSC2151	Introduction to Climate Change	3
SSC2155	Introduction to Public Policy and Governance	3
SSC2157	Introduction to Sustainable Development	3
SSC2158	Principles of Economics	3
SSC2243	Environment and Sustainability	3
SSC2250	International Relations	3
SSC2252	Living with Conflict	3
SSC2254	Natural Hazard and Disaster Management	3
SSC3145	Education, Society and Development	3
SSC3149	Globalization and Social Conflict	3
SSC3150	Seminar on Grassroots Economic Development	3
SSC3245	Entrepreneurship	3
SSC3247	Islam and Islamism: A South Asian Perspective	3
SSC3252	Critical Thinking and Logic	3
SSC3253	Reading Media Texts	3
SSC3254	History of Bangladeshi Media	3
SSC4142	Methods of Social Research	3
SSC4143	Global Migration and Citizenship	3
SSC4147	Develompent Communication	3
SSC4148	Ethics in Media and Communication	3
STA2101	Statistics and Probability	3
UCC1101	Bangla Bhasha O Sahitya	3
UCC1201	History of the Emergence of Independent Bangladesh	3
UCC1202	Ethics	3
